"Actions","Ações"
"Are you sure?","Você tem certeza?"
"Date Added","Data em que foi adicionado"
"Error while marking as read. Please try again later.","Erro ao marcar como lido. Por favor tente de novo mais tarde."
"Error while marking. Please try again later.","Erro ao marcar. Por favor tente de novo mais tarde."
"Error while removing. Please try again later.","Erro ao remover. Por favor tente de novo mais tarde."
"Last update","Última atualização"
"Mark as Read","Marcar como Lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Message was successfully marked as read","A mensagem foi marcada com lida com sucesso"
"Message was successfully removed","A mensagem foi removida com sucesso"
"Messages Inbox","CAixa de entrada de mensagens"
"Notifications","Notificações"
"Please select messages","Por favor selecione as mensagens"
"Read Details","Leia os detalhes"
"Remove","Remover"
"Severity","Severidade"
"Show List","Mostrar Lista"
"Show Toolbar","Mostar Barra de Ferramentas"
"Total of %d record(s) were successfully marked as read","Total de %d registros foram marcados com lido(s) com sucesso"
"Total of %d record(s) were successfully removed","Total de %d registro foram removidos com sucesso"
"Unable to proceed. Please, try again","Não foi possível continuar.Por favor, tente de novo"
"Update frequency","Frequência de atualzação"
"Use HTTPS to get feed","Use HTTPS para obter o feed"
"critical","crítico"
"major","maior"
"minor","menor"
"notice","advertência"
