" The customer doesn't exist in the system anymore"," O cliente não existe mais no sistema"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo da raiz de instalação do Magento, ex. var/export)"
"(Starting with)","(Começando com)"
"(Leave empty for first spreadsheet)","(Deixar em branco para primeira planilha)"
"(For US 2-letter state names)","(Para nomes de estados Americanos com 2 letras"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão acrescentados/atualizados nesta loja se a coluna 'loja' estiver vazia ou faltando no arquivo de importação.)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(If left empty will be auto-generated)","(Se vazio a esquerda sera gerado automaticamente)"
"(t for tab)","(t para aba)"
"2YTD","2Year To Date"
"Top 5 Search Terms","5 Termos de Busca Mais Utilizados"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accesso negado</h1><p>Accesso negado.</p>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erro 404</h1><p>Página não encontrada.</p>"
"The information in this tab has been changed.","A Informação nesta aba foi alterada."
"The new password have sent to your email address. Please check your email and click back to login.","A nova senha foi enviada para seu endereço de email. Por favor verifique seu email e clique no link para entrar."
"Action","Ação"
"Actions","Ações"
"Actions XML","Ações XML"
"Access Deny","Acesso Negado"
"Access Denied.","Acesso Negado."
"Resource Access","Acesso do Recurso "
"Date Added","Data Adicionada"
"Add Field Mapping","Adicionar Mapeamento de Campos "
"Add New Image","Adicionar Nova Imagem"
"Add New Template","Adicionar Novo Modelo "
"Add new Role","Adicionar Novo Papel"
"Add New Role","Adicionar Novo Papel"
"Add New Profile","Adicionar Novo Perfil "
"Add New Urlrewrite","Adicionar Novo Urlrewrite"
"Add New User","Adicionar Novo Usuário"
"Add Url Rewrite","Adicionar URL Rewrite"
"Admin","Admin"
"Magento Admin","Admin Magento"
"Aggregate Order","Agregar Pedido "
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter a qualidade do Magento – Reporte todos os Bugs "
"Warning!
This action will remove those users from already assigned roles
Are you sure?","Alerta!
Esta ação removerá aqueles usuários dos papéis já associados. 
Tem certeza?"
"Warning!
This action will remove this user from already assigned role
Are you sure?","Alerta!
Esta ação removerá este usuário de papel já associado 
Tem certeza?"
"Warning: Please don't close window during importing/exporting data","Alerta: Por favor não feche esta janela durante a importação/exportação de dados "
"Design change deleted","Alteração de Design apagada"
"Design change saved","Alteração de Design gravada"
"Both (without and with tax)","Ambos (sem e com imposto)"
