" and "," e "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Path absoluto ou relativo para o Magento instalar o root (raíz), ex. var/export)"
"(For US 2-letter state names)","(Para nomes de estados dos EUA com 2 letras)"
"(If left empty will be auto-generated)","(Caso deixado em branco será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe vazio para a primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados para esta loja caso a coluna "store" (loja) estiver em branco ou faltando no arquivo.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para mudar o valor"
"(Starting with)","(Começando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Quando mapear, utilize 'coluna1', 'coluna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você deve aumentar o memory_limit do php antes de mudar este valor)"
"(\\t for tab)","(\\t para tab)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte do horário para aumentar"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha pressionado o botão do mouse sobre qualquer dos botões abaixo para uma seleção mais rápida."
"- Use the %s buttons to select month","- Use os %s bot˜ões para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os %s, %s botões para selecionar o ano"
"- or Shift-click to decrease it","- ou clique segurando o Shift para diminuir"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rápido."
"API:","API:"
"About the calendar","Sobre o calendário"
"Access Denied.","Accesso negado."
"Account Created in:","Conta criada no:"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Action","Ação"
"Actions","Ações"
"Add Contents Path","Add Contents Path"
"Add Field with URL:","Adicionar campo com URL:"
"Add Maintainer","Add Maintainer"
"Add New Role","Adicionar novo papel"
"Add New Template","Adicionar novo Template"
"Add New User","Adicionar novo usuário"
"Add PHP Extension dependency","Adicionar dependência de extensão do PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add Subpackage dependency","Adicionar dependência de sub-pacote"
"Address Type:","Tipo de endereço:"
"All","Todos"
"All Websites","Todos os Websites"
"All fields","Todos os campos"
"Archive file name:","Nome do arquivo:"
"Are you sure that you want to delete this template?","Você tem certeza de que deseja deletar este template?"
"Are you sure that you want to strip tags?","Você tem certeza de que deseja desvincular estas tags?"
"Attribute Set Name:","Nome do Conjunto de atributos:"
"Attributes","Atributos"
"Available Products","Produtos disponíveis"
"Big Image","Imagem grande"
"Billing Address","Endereço de cobrança"
"Bundle Items","Itens Bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle com preços dinâmico não pode incluir opções personalizadas. As opções não serão salvas."
"CSV / Tab separated","CSV / separadas por Tab"
"Card Verification Number","Número de verificação do cartão"
"Catalog","Catálogo"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Escolhes Visão da Loja"
"Client Session timeout (sec.)","Sessão do cliente expirou (sec.)"
"Close","Fechar"
"Comments History","Histórico de comentários"
"Confirmed email:","Email confirmado:"
"Connect with the Magento Community","Entre em contato com a Comunidade Magento"
"Contents","Conteúdos"
"Country:","País:"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo History","Histórico de anotações sobre crédito"
"Credit Memo Totals","Total de anotações sobre crédito"
"Current Configuration Scope:","Atual Configuração do Escopo:"
"Current Release Information","Versão Atual da Informação"
"Custom","Customizado"
"Customer Group:","Grupo de clientes:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","DHTML Selecionador de Data/Hora"
"Dashboard","Painel"
"Data Format","Formato dos dados"
"Data transfer:","Transferência de dados:"
"Date selection:","Seleção de dados:"
"Date selector","Selecionador de dados"
"Date:","Data:"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores (Admin) Padrão"
"Default Values","Valores Padrão"
"Delete","Delete"
"Dependencies","Dependências"
"Description:","Descrição:"
"Direction:","Direção:"
"Display %s first","Mostrar %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob GNU LGPL. Veja %s para mais detalhes."
"Done By:","Feito Por:"
"Done by:","Feito por:"
"Download Remote File","Baixar arquivo remoto"
"Drag to move","Arraste para mover"
"Edit Role","Editar Papel"
"Edit User '%s'","Editar usuário '%s'"
"Email","Email"
"Email Preview","Pré-visualização do Email"
"Email:","Email:"
"Enclose Values In:","Anexar valores em:"
"Entity type:","Tipo de entidade:"
"Excl. Tax","Excl. Imposto"
"Exclude","Excluir"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Export","Exportar"
"Export Filters","Exportar Filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Mapeamento de campo"
"File Information","Informações do arquivo"
"File name:","Nome do arquivo:"
"Final Price","Preço final"
"First Name:","Primeiro nome:"
"For latest version visit: %s","Para última versão visitada: %s"
"From","De"
"General Settings","Configurações Gerais"
"Get help for this page","Ajuda para esta página"
"Global Record Search","Global Record Search"
"Go Today","Vá Hoje"
"Google Base Items","Itens do Google Base"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter o Magento - Relate todos os Bugs"
"Ignore","Ignorar"
"Images","Imagens"
"Import","Importar"
"Import Service","Importar Serviço"
"In Database:","No Banco de Dados:"
"In File:","No Arquivo:"
"Inactive","Inativo"
"Incl. Tax","Incl. Imposto"
"Include","Include"
"Installed As","Instalado Como"
"Interactive","Interativo"
"Interface Locale: %s","Interface Locale: %s"
"Invalid webservice adapter specified","Adaptador de webservice especificado é inválido"
"Invalid webservice handler specified","Manipulador de webservice especificado é inválido"
"Invoice History","Histórico de Faturas"
"Invoice Totals","Total de Faturas"
"Issue Number","Número da emissão"
"Issuer: %s","Emissor: %s"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 Termos de Busca"
"Last Logged In (%s):","Última vez se logou em (%s):"
"Last Logged In:","Última vez se logou em:"
"Last Name:","Sobrenome:"
"Latest Message:","Última mensagem:"
"Leave empty to use tax identifier","Deixe vazio para usa o identificador de imposto"
"Level","Nível"
"License:","Licença:"
"Loading...","Carregando..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Log Out","Sair"
"Logged in as %s","Logado como %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Seção Magento Core Api"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; é uma Marca registrada de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Mantenedores"
"Manage Stores","Gerenciar Lojas"
"Max","Max"
"Min","Min"
"N/A","N/A"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Próximo mês (segure para menu)"
"Next page","Próxima página"
"Next year (hold for menu)","Próximo ano (segure para menu)"
"No","Não"
"No Data Found","Dados não encontrados"
"No search keywords.","Sem palvras-chaves de busca."
"Note:","Nota:"
"Notes:","Notas:"
"Number of records:","Número de registros:"
"Old rate:","Taxa antiga:"
"Only mapped fields","Apenas campos mapeados"
"Order Totals","Total de pedidos"
"Order confirmation email not sent","Email de confirmação de pedido não enviado"
"Order confirmation email sent","Email de confirmação de pedido enviado"
"Original Magento attribute names in first row:","Nomes de atributos originais Magento na primeira linha:"
"Package","Pacote"
"Package Information","Informação do Pacote"
"Packages","Pacotes"
"Page","Páginas"
"Passive mode","Modo Passivo"
"Password","Senha"
"Path","Path"
"Path:","Path:"
"PayPal Email","Email do PayPal"
"Personal Information","Personal Information"
"Phone:","Phone:"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Please confirm site switching. All data that hasn\'t been saved will be lost."
