"Action","Ação"
"File compressed with Zlib, but this extension is not installed on server","Arquivo comprimido com Zlib, mas esta extensão não está instalada no servidor "
"Backup file doesn't exist","Arquivo de backup não existe"
"Backups","Backups"
"Download","Baixar"
"DB","BD"
"Backups Control","Controle de Backups"
"Backups Control","Controle de Backups"
"Create Backup","Criar Backup"
"Time","Hora"
"Cannot read backup file","Não é possível ler arquivo de backup"
"Wrong order of creation for new backup","Solicitação Errada de criação de novo backup"
"Type","Tipo"
"All types","Todos Tipos"
