"# of Use","# de Uso"
"%s Item(s)","%s Item(s)"
"(Will make search for the query above return results for this search.)","(Ao fazer a busca para a query acima retornará os resultados para esta busca.)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"-- Please Select --","-- Por favor Selecione --"
"Action","Ação"
"Add Design Change","Adicionar Alteração de Design "
"Add to Cart","Adicionar ao Carrinho"
"Add Attribute","Adicionar Atributo"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add to My Wishlist","Adicionar à Minha Lista de Desejos"
"Add Tier","Adicionar Camada"
"Add Group","Adicionar Grupo"
"Add Items to Cart","Adicionar Itens ao Carrinho"
"Add New Images","Adicionar Novas Imagens"
"Add New","Adicionar Novo"
"Add New Attribute Set","Adicionar Novo Atributo"
"Add New Attribute","Adicionar Novo Atributo "
"Add New Set","Adicionar Novo Conjunto"
"Add New Group","Adicionar Novo Grupo"
"Add New Search Term","Adicionar Novos Termos de Busca"
"Add Option","Adicionar Opção"
"Add to Compare","Adicionar para Comparação"
"Add Product","Adicionar Produto"
"Add Recipient","Adicionar Recipiente"
"Add Product To Websites","Adicionar Produto para Websites"
"Prev","Ant"
"Products only","Apenas produtos"
"Apply To","Aplicar Para"
"Apply To Configurable/Grouped Product","Aplicar para Produto Configurável/Agrupado"
"Approved","Aprovado"
"Are you sure you would like to remove all item from compare products?","Você tem certeza que deseja remover todos os itens da comparação de produtos?"
"Are you sure you would like to remove this item from the compare products?","Você tem certeza que deseja remover esse item da comparação de produtos?"
"Array of Entity collections is expected","Vetor de coleções de Entidades é esperado"
"Attributes","Atributos"
"Attrib. Set Name","Nome do Conjunto de Atributos"
"Attribute Set","Conjunto de Atributos"
"Zoom In","Aumentar"
"Autogenerate","Auto-geração"
"Availability: In stock.","Disponibilidade: Em estoque."
"Back","Voltar"
"Backend Model","Modelo de Backend"
"Backend Table","Tabela de Backend"
"Backend Table Title","Título da Tabela de Backend"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Diretório base para upload de imagem não está especificado"
"Based On","Based On"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas bloco estático"
"Invalid block: %s","Bloco inválido: %s"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Bundle","Bundle"
"Buy %s for %s","Comprar %s para %s"
"Buy %s for %s each","Comprar %s para <strong>%s cada</strong>"
"Can be used only with catalog input type Dropdown","Pode ser usado apenas para catálogo com input Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado apenas para catálogo com input Dropdown, Select Múltiplo e Preço"
"Cart Item Attribute","Atributo do Item do Carrinho"
"Catalog","Catálogo"
"Catalog Input Type for Store Owner","Tipo de Input de catálogo para Dono de Loja"
"Catalog Price Scope","Escopo do Preço do Catálogo"
"Catalog Searches","Pesquisas de Catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Category","Categoria"
"Categories","Categorias"
"Categories Sitemap","Categorias de Sitemap"
"Category Data","Dados da categoria"
"Category delete error","Erro de deleção da categoria"
"Category deleted","Categoria apagada"
"Category move error","Erro em mover a categoria"
"Category Navigation:","Navegação da categoria:"
"Category Products","Produtos da Categoria"
"Category saved","Categoria salva"
"Attribute Code","Código do Atributo "
"Change","Alterar"
"Change status","Alterar status"
"Check items to add to the cart or ","Cheque itens para adicionar ao carrinho ou "
"Clean boot cut women's business pant","Limpo bota corte mulher negócio calça"
"Close Window","Fechar Janela"
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Front-end"
"Compare Items","Comparar Itens"
"Compare Products List","Comparar Lista de Produtos"
"Compare Products","Comparar Produtos"
"Compare list successfully cleared","Lista de comparação limpa com sucesso"
"Compare Products - %d Items","Compare Produtos <span class=""count"">- %d Itens</span>"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Configurações de Produtos Configurável"
"Continue","Continuar"
"Copy From Configurable","Copiar do Configurável"
"Create Empty","Criar Vazio"
"Create Product Settings","Criar Configurações de Produto"
"Create Simple Associated Product","Criar Produto de Associação Simples"
"Cross-sell Products","Produtos de Venda Cruzada"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by","No momento comprando de"
"Custom Design","Design Customizável"
"Customer Group","Grupo de Clientes"
"Customer Reviews","Opinião do Cliente"
"Customers for alert %s was successfuly added to queue","Cliente para o alerta %s foi adicionado a fila"
"Customers Reviews","Opinião de Clientes"
"Customers Tagged Product","Produto Tagueado pelos Clientes"
"Data Type for Saving in Database","Tipo de Dado para Salvar no Banco de Dados"
"Date","Data"
"Date Subscribed","Data de Inscrição"
"Datetime","Datetime"
"Decimal","Decimal"
"Decimal Number","Número Decimal"
"Declare attribute value saving scope","Declarar valor do atributo salvando escopo"
"Default price","Preço padrão"
"Default Qty","Quantidade Padrão"
"Default Tax Class","Classe de Taxa Padrão"
"Default value","Valor padrão"
"Default Values","Valores Padrão"
"Delete","Apagar"
"Delete Attribute","Apagar Atributo"
"Delete Attribute Set","Apagar Conjunto de Atributos"
"Delete Category","Apagar Categoria"
"Delete Option","Apagar Opção"
"Delete Search","Apagar Pesquisa"
"Delete Selected Group","Apagar Grupos Selecionados"
"Product Description","Descrição do Produto"
"Design","Design"
"Disabled","Desabilitado"
"Discount","Desconto"
"Display in Suggested Terms","Mostrar nos Termos Sugeridos"
"Availability: In stock. Ships within 24 hours.","Disponibilidade: Em estoque. Entrega dentro de 24 horas."
"Availability: Out of stock.","Disponibilidade: Esgotado."
"Double click on a group to rename it","Duplo clique em um grupo para renomeá-lo"
"Dropdown","Dropdown"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar preço diferenciado do website do grupo de usuários e quantidade."
"and","e"
"and above","e acima "
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar Atributo do Produto"
"Edit Product Attribute ""%s""","Editar Atributo do Produto ""%s"""
"Edit Search","Editar Pesquisa"
"Edit Search '%s'","Editar Pesquisa '%s'"
"Email","Email"
"Email Address","Endereço de Email"
"Email Address:","Endereço de Email:"
"Email to a Friend","Enviar para um Amigo"
"Email:","Email:"
"Empty","Vazio"
"Enabled","Habilitado"
"Entity collection is expected","Coleção de entidade é esperada"
"Error during retrieval of option value: %s","Erro durante a recuperação do valor: %s"
"Error while adding customers for %s alert. Message: %s","Erro adicionando o cliente para %s alerta. Mensagem: %s"
"Error while saving this group. Group with the same name already exists.","Erro salvando esse grupo. Grupo com o mesmo nome já existe."
"Error while saving this group. Please try again later.","Erro salvando esse grupo. Por favor tente novamente."
"Choose an Option...","Escolha uma Opção..."
"Product Attribute Specs","Especificações do Atributo do Produto"
"This bundle is out of stock.","Este pacote está esgotado."
"ex. http://domain.com","ex. http://domain.com"
"Exclude","Excluir"
"Quick Overview","Descrição Rápida"
"Failed","Falhou"
"Failed to move file: %s","Falhou ao mover o arquivo: %s"
"Feature Products","Produtos em Destaque"
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Filtrável (com resultados)"
"Filter must be as object. Set correct filter please","Filtro deve ser como objeto. Selecione o filtro correto por favor"
"Filters must be as array","Filtros devem ser como vetores"
"First Name","Primeiro"
"Fixed","Arrumado"
"For internal use. Must be unique with no spaces","Para uso interno. Precisa ser único sem espaços"
"Out of Stock","Esgotado"
"Frontend","Frontend"
"Frontend Model","Modelo de Frontend"
"Frontend Properties","Propriedades de Frontend"
"Gallery","Galeria"
"General Information","Informações Gerais"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Grid","Grid"
"Grouped Product","Produtos Agrupados"
"Groups","Grupos"
"ID","ID"
"Attribute Identifier","Identificador do Atributo"
"If you do not specify an option value for a store then the default value will be used.","Se você não especificar uma opção de valor para uma loja então o valor padrão será usado."
"Image file not found","Arquivo da imagem não encontrado"
"Image not exists","Imagem não existe"
"Image type and information need to be specified for each store view.","Tipo de imagem e informação precisa ser especificada para cada visão de loja."
"Image","Imagem"
"Print This Page","Imprimir esta Página"
"In stock","Em estoque"
"In Stock","Em estoque"
"Attribute Information","Informação de Atributo"
"Additional Information","Informações Adicionais "
"Input Validation for Store Owner","Validação de Imput para Dono da Loja"
"Integer","Inteiro"
"Integer Number","Número Inteiro"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida especificada para o atributo %s (%s), parando a gravação"
"Invalid attribute set specified, skipping the record","Conjunto de atributos inválido, parando a gravação"
"Invalid category IDs","IDs de categoria inválidos"
"Invalid image file type","Tipo de imagem inválido"
"Invalid option id specified for %s (%s), skipping the record","Opção de id invalida para %s (%s), parando a gravação"
"Invalid product type specified, skipping the record","Tipo de produto inválido, parando a gravação"
"Invalid store specified","A loja especificada é inválida"
"Invalid store specified, skipping the record","A loja especificada é inválida, parando a gravação"
"Inventory","Inventário"
"Is Default","É Padrão"
"Items %s to %s of %s total","Itens <strong>%s</strong> para <strong>%s</strong> de <strong>%s</strong> total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que você deseja exibir no catálogo ou nos resultados de pesquisa devem estar com o status “Desativado” na loja desejada"
"Attribute with the same code already exists","Já existe atributo com o mesmo código "
"Kamper state-of-art Extra Comfort runners","Kamper estado-da-arte Extra Conforto corredores"
"Label","Etiqueta"
"Last Name","Último Nome"
"Last Notification","Última Notificação"
"Learn More","Leia Mais"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras(a-zA-Z) ou Números(0-9)"
"Clear All Items","Limpar Todos os Itens"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"List Mode","Modo de Listagem"
"List","Lista"
"More Views","Mais Visualizações"
"Manage Attribute Sets","Gerenciar Grupo de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Categoria de Catálogo"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Etiqueta / Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores de seu atributo)"
