"The requested quantity for ""%s"" is not available.","A quantidade pedida para ""%s"" não está disponível."
"Update the Product","Atualizar o Produto"
"Notify for Quantity Below","Avisar Para Quantidade Abaixo"
"Decrease Stock When Order is Placed","Diminuir Estoque Quando Feito Pedido "
"Inventory","Inventário"
"Can not specify product identifier for order item","Não foi possível especificar o identificador do produto para o item do pedido"
"No Backorders","Nenhum Pedido Rejeitados"
"Stock Options","Opções de Estoque"
"To Percentage","Para Porcentagem"
"To Fixed Value","Para Valor Fixo"
"Backorders","Pedidos Rejeitados"
"Allow Qty Below 0","Permitir Qtd Abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir Qtd abaixo de 0 e Notificar Cliente"
"By Percentage","Por percentagem"
"By Fixed value","Por valor fixo"
"Minimum Qty Allowed in Shopping Cart","Qtd. Min. Permitida no Carrinho de Compras"
"Maximum Qty Allowed in Shopping Cart","Qtd. Máx. Permitida no Carrinho de Compras"
"Minimum Qty for Items' Status to be In Stock","Qtd. Mín. de Itens em Estoque"
"Rule price","Regra de preço"
"The requested quantity is not available.","A quantidade solicitada não está disponível."
