"%s and greater","%s e maior"
"<b>%d item(s)</b> were found using the following search criteria","<b>%d item(s)</b> foram encontrados usando o seguinte critério de busca"
"up to %s","até %s"
"Search","Busca"
"Advanced Search","Busca Avançada"
"Catalog Advanced Search","Busca Avançada no Catálogo"
"Required Fields","Campos Obrigatórios"
"Tax Class","Classe de Impostos"
"Search Settings","Configurações de Busca"
"Description","Descrição"
"Short Description","Explicação Rápida"
"Grid","Grid"
"List","Lista"
"Autogenerated site map","Mapa do Site Gerado Automaticamente"
"Modify your search","Modificar sua busca"
"There are no search terms available.","Não há termos de busca disponíveis."
"Name","Nome"
"Price","Preço"
"Home","Principal"
"Search entire store here...","Procurar em toda a loja aqui..."
"Search entire store here...","Procurar em toda a loja aqui..."
"Results","Resultados"
"Search results for '%s'","Resultados da busca por '%s'"
"Search results for: '%s'","Resultados da busca por: '%s'"
"Search Site","Site de Busca"
"SKU","SKU"
"Your search returns no results.","Sua busca não retornou resultados."
"Search Terms","Termos de Busca"
"Popular search terms","Termos de Busca Populares"
"Popular Search Terms","Termos de Busca Populares"
"All","Todos"
"Go to Home Page","Vai para a Página Principal"
"You have to specify at least one search term","Você precisa especificar pelo menos um termo de busca"
