"(eg: domain.com/identifier)","(ex: domain.com/identificador)"
"The page you are trying to save no longer exists","A página que você está tentando gravar não existe mais"
"Action","Ação"
"Add New Page","Acrescentar Nova Página"
"Add New Block","Acrescentar Novo Bloco"
"Delete Block","Apagar Bloco"
"Delete Page","Apagar Página"
"Last Modified","Última Modificação"
"Block was successfully deleted","Bloco foi apagado com sucesso"
"Block was successfully saved","Bloco foi gravado com sucesso"
"CMS Blocks","Blocos de CMS"
"Static Blocks","Blocos Estáticos"
"CMS","CMS"
"CMS No Route Page","CMS Página No Route"
"Content","Conteúdo"
"Date Created","Data de Criação"
"Disabled","Desabilitado"
"Description","Descrição"
"Custom Design","Design Personalizado"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"This page no longer exists","Esta página não existe mais"
"This block no longer exists","Este bloco não existe mais"
"Poll Manager","Gerenciador de Pesquisa"
"Manage Blocks","Gerenciar Blocos"
"Manage Pages","Gerenciar Páginas"
"Save Block","Gravar Bloco"
"Save Page","Gravar Página"
"Enabled","Habilitado"
"Identifier","Identificador"
"Page Identifier cannot consist only of numbers.","Identificador de página não pode ser apenas de números."
"Page Identifier for specified store already exist.","Identificador de página para a loja especificada já existe."
"Product Tax Class Information","Informação de Classe de Impostos de Produto"
"Page Information","Informações da Página"
"Block Information","Informações do Bloco"
"Customer Tax Class Information","Informações de Classe de Impostos"
"General Information","Informações Gerais"
"Go to Home Page","Ir para Página Principal"
"Layout","Layout"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Show breadcrumbs for CMS pages","Mostrar navegação por “migalha de pão” para páginas do CMS"
"Unable to find a block to delete","Não foi possível encontrar bloco para remover"
"Unable to find a page to delete","Não foi possível encontrar página para remover"
"New Page","Nova Página"
"New Block","Novo Bloco"
"Keywords","Keywords"
"Meta Keywords","Meta Keywords"
"Page was successfully deleted","Página foi apagada com sucesso"
"Page was successfully saved","Página foi gravada com sucesso"
"CMS Pages","Páginas de CMS"
"Preview","Pré-lançamento"
"Home","Página Principal"
"CMS Home Page","Página Principal do CMS"
"SEF URL Identifier","SEF URL Identifier"
"Status","Status"
"Page Status","Status da Página"
"Such a block identifier in selected store already exist.","Tal identificador de bloco na loja selecionada já existe."
"Title","Título"
"Page Title","Título da Página"
"Block Title","Título do Bloco"
"Custom Theme","Tema Personalizado"
"Custom Theme From","Tema Personalizado a partir de"
"Custom Theme To","Tema Personalizado para"
"All countries","Todos países"
"Store View","Visão da Loja"
"Layout Update XML","XML de Atualização de Layout"
