"%s already exists","%s já existem"
"%s already exist","%s já existe"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por favor Selecione --"
"Date From","A partir da Data"
"Add Store Code to Urls","Adicionar Código da Loja nas URLs"
"Design Change","Alteração de Design"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar o código de visualização da loja por favor tenha certeza que não é usado em index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar o código do website por favor tenha certeza que não é usado em index.php"
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Ao apagar a loja você não apagará as informações associadas com a loja (e.g. categorias, produtos, etc.), mas a loja não poderá ser restaurada. Sugere-se que você crie um backup do banco de dados antes de remover a loja."
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Ao apagar a visão da loja você não apagará as informações associadas com a visão da loja (e.g. categorias, produtos, etc.), mas a visão da loja não poderá ser restaurada. Sugere-se que você crie um backup do banco de dados antes de apagar a visão da loja."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Ao apagar um website não apagará as informações associadas com o website (ex. lojas, categorias, produtos, etc.), mas o website não sera restaurado. Sugere-se que você crie um backup do banco de dados antes de apagar o website."
"Delete","Apagar"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Visão da Loja"
"Delete Website","Apagar Website"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento de atualização de layout inválido, esperado Mage_Core_Model_Layout_Element"
"Invalid messages storage ""%s"" for layout messages initialization","Armazenamento de Mensagens Inválidas ""%s"" para inicialização do layout de mensagens"
"Controller file was loaded but class does not exist","Arquivo de Controle foi carregado mas a classe não existe"
"Secure","Assegurar"
"Advanced","Avançado"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Block with name ""%s"" already exists","Bloco com o nome ""%s"" já existe"
"Invalid block: %s","Bloco inválido: %s"
"Search","Buscar"
"Target path for specified store","Caminho de Destino para loja especificada"
"Request path for specified store","Caminho de Solicitação para Loja especificada"
"Cookie Path","Caminho do Cookie"
"Invalid websites configuration path: %s","Caminho Inválido de configuração de website: %s"
"Cancel","Cancelar"
"Can't retrieve entity config: %s","Não foi possível acessar a configuração da entidade: %s"
"Root Category","Categoria Root "
"Code","Código"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código de Loja deve conter apenas letras (a-z), números (0-9) ou underscore(_), primeiro caractere deve ser uma letra"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código do Website deveria conter apenas letras (a-z), números (0-9) ou underscore(_), primeiro caractere deve ser uma letra"
"Invalid transactional email code: ","Código Inválido de email transacional: "
"Model class does not exist: %s","Classe Modelo não existe: %s"
"Code pools root directory","Diretório root do código de pesquisa"
"Comment","Comentário"
"Compare Products","Comparar Produtos"
"Compare Products - %d Items","Comparar Produtos - %d Itens"
"Compare Items","Comparar Itens"
"SMTP settings (Windows server only)","Configurações de SMTP (apenas Windows server)"
"General Settings","Configurações Gerais "
"Contact Us","Contate nos"
"General contact","Contato Geral"
"Create Store","Criar Loja"
"Create Store View","Criar Visão da Loja "
"Create Website","Criar Website"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tarefas Agendadas) – todos os horários são em minutos"
"Date To","Data Para"
"Debug","Debug"
"Default no-route url","Padrão de url no-route"
"Leave empty for access from any location","Deixar em branco para acessar de qualquer lugar"
"Disable email communications","Desabilitar comunicações por email"
"Disable modules output","Desabilitar saída dos módulos"
"Developer","Desenvolvedor"
"Design","Design"
"Custom Design","Design Personalizado"
"Template Path Hints","Dicas de Caminho de Modelo"
"Base directory","Diretório Base "
"Media files directory","Diretório de arquivos de Media"
"Session files directory","Diretório de Arquivos de Sessão"
"Skin directory","Diretório de Skin"
"Var (temporary files) directory","Diretório Var (arquivos temporários)"
"Cookie Domain","Domínio do Cookie"
"Duplicate Of Template Code","Duplicação do Código de Modelo"
"Edit Design Change","Editar Alteração do Design"
"Edit Store","Editar Loja"
"Edit Store View","Editar Visão da Loja"
"Edit Website","Editar Website"
"Email","Email"
"Sender email","Email do Remetente"
"Custom email 1","Email Personalizado 1"
"Custom email 2","Email Personalizado 2"
"Store Email Addresses","Endereços de Email da Loja"
"Allowed IPs (comma separated)","Endereços IPs selecionados (separados por vírgulas)"
"Submit","Enviar"
"Error while saving. Please try again later.","Erro ao Gravar. Por favor tente novamente mais tarde."
