"* Required Fields","* Campos Obrigatórios"
"Last 5 Orders","5 Últimos pedidos"
"Action","Ação"
"Added From","Acrescentado De"
"Add New Customer","Acrescentar Novo Cliente"
"Add New Address","Acrescentar novo endereço"
"Add New Customer Group","Acrescentar Novo Grupo de Clientes "
"Admin","Admin"
"Change Billing Address","Alterar Endereço de Cobrança"
"Change Shipping Address","Alterar Endereço de Envio"
"Change Account Password","Alterar Senha da Conta"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de fechar a sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais"
"Delete","Apagar"
"Delete Customer","Apagar Cliente"
"Delete Address","Apagar Endereço"
"Delete Customer Group","Apagar Grupo de Clientes"
"Deleted Stores","Apagar Lojas"
"Customers Only","Apenas Clientes"
"Visitors Only","Apenas Visitantes"
"Approved","Aprovado"
"Array of Entity collections is expected","Array de coleções de entidades é esperado"
"Account information was successfully saved","As informações de Conta foram gravadas com sucesso"
"Last Activity","Última Atividade"
"Last date subscribed","Última Data de Assinatura"
"Last date unsubscribed","Última data de cancelamento de assinatura"
"Last Url","Última URL"
"Last Viewed Items","Últimos itens vistos"
"Subscribe to newsletter","Assinar newsletter"
"Sign Up for Newsletter","Assinar Newsletter"
"General Subscription","Assinatura Geral"
"Sign up for our newsletter","Assine nossa newsletter"
"Assign a customer group","Associar um grupo de clientes"
"Subject","Assunto"
"Update","Atualizar"
"You are currently not subscribed to our newsletter","Atualmente você não assina nosso newsletter"
"Cancel","Cancelar"
"Can't save address","Não foi possível salvar endereço"
"Can't save customer","Não foi possível salvar cliente"
"Can't share customer accounts global.","Não foi possível compartilhar a conta global do cliente."
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho de Compras - %d item(s)"
"Zip/Postal Code","CEP"
"ZIP/Post Code","CEP"
"ZIP/Postal Code","CEP"
"City","Cidade"
"Tax Class","Classe de Imposto"
"Tax class","Classe de Imposto"
"Customer","Cliente"
"Customer Since","Cliente Desde"
"Customer doesn't have primary billing address","Cliente não tem endereço de cobrança primário"
"Registered Customers","Cliente Registrado"
"Customers","Clientes"
"Online Customers","Clientes Online"
"Customer collection expected","Coleção de Clientes esperada"
"Entity collection is expected","Coleção de Entidades é esperada"
"Company","Empresa"
"Share Customer Accounts","Compartilhar Contas de Clientes"
"Bought From","Comprado De"
"Purchased at","Comprado Em"
"Purchase On","Comprado Em"
"Log In","Entrar"
"Login","Entrar"
"Login or Create an Account","Entrar ou Criar uma Conta"
"Config","Config"
"Customer Configuration","Configuração de Cliente"
"Confirm New Password","Confirmar Nova Senha"
"Confirm Password","Confirmar Senha"
"Invalid attribute set specified, skipping the record","Conjunto de atributo inválido, pulando o registro"
"Continue Shopping","Continuar Comprando"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar uma Conta"
"CSV","CSV"
"Date","Dados"
"Invalid customer data","Dados de Clientes Inválidos"
"Date Added","Data Adicionada"
"Set as Default Billing Address","Definir como Endereço Padrão de Cobrança"
"Set as Default Shipping Address","Definir como Endereço Padrão de Envio"
"Disabled","Desabilitado"
"Log Out","Sair"
"Unknown","Desconhecido"
"User description","Descrição de Usuário"
"Details","Detalhes"
"Days in Wishlist","Dias na Lista de Desejos"
"Default Email Domain","Domínio de Email Padrão"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Customer's Address","Editar Endereço de Cliente"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Group","Editar Grupo"
"Edit Customer Group ""%s""","Editar Grupo de Clientes ""%s"""
"Edit Customer Groups","Editar Grupos de Clientes"
"Edit Account Information","Editar Informações de Conta"
"Edit Personal Information","Editar Informações Pessoais"
"Edit Newsletter Subscription","Editar Inscrição em Newsletter"
"Edit Newsletters","Editar Newsletters"
"Email","Email"
"Customer email already exists","Email de Cliente já existe"
"Address","Endereço"
"Street Address","Endereço da Rua"
"Street Address 2","Endereço da Rua 2"
"Email Address","Endereço de email"
"Invalid email address","Endereço de Email Inválido"
"IP Address","Endereço IP"
"Default Billing Address","Endereço Padrão de Cobrança"
"Default Shipping Address","Endereço Padrão de Envio"
"Primary Billing Address","Endereço Primário de Cobrança"
"Primary Shipping Address","Endereço Primário de Envio"
"Addresses","Endereços"
"Customer Addresses","Endereços de Cliente"
"Default Addresses","Endereços Padrões"
"Additional Address Entries","Entradas de Endereços Adicionais"
"Sent","Enviado"
"Shipped to Last Name","Enviado para Último Nome"
"Shipped to Name","Enviado para Nome"
"Shipped to First Name","Enviado para Primeiro Nome"
"Sending","Enviando"
"Submit","Enviar"
"Send welcome email","Enviar email de boas-vindas"
"Ship to Last name","Enviar para Último Nome"
"Ship to First name","Enviar para Primeiro Nome"
"Send auto-generated password","Enviar senha gerada automaticamente"
"Error during retrieval of option value: %s","Erro durante a leitura do valor de opção: %s"
"Forgot Email Template","Esqueceu Modelo de Email"
"Forgot Email Sender","Esqueceu Remetente de Email"
"Forgot Your Password?","Esqueceu sua Senha?"
"State/Province","Estado"
"Sales Statistics","Estatísticas de Vendas"
"This is My Primary %s Address","Este é meu Endereço <strong>%s</strong> Primário"
"This customer has no saved addresses.","Este cliente não tem endereços gravados."
"This email address was not found in our records","Este endereço de email não foi encontrado nos nossos registros"
"Missing email, skipping the record","Faltando email, ignorando registro"
"Missing firstname, skipping the record","Faltando primeiro nome, ignorando registro"
"Missing lastname, skipping the record","Faltando ultimo nome, ignorando registro"
"Fax","Fax"
"Newsletter Finish","Fim da Newsletter"
"Password Management","Gerenciamento de Senha"
"Manage Customers","Gerenciar Clientes"
"Manage Addresses","Gerenciar Endereços"
"Global","Global"
"Grand Total","Total Geral"
"Grand Total: %s","Total Geral: %s"
"Saved ","Gravado "
"Save","Gravar"
"Save Customer","Gravar Cliente"
"Save Address","Gravar Endereço"
"Save Customer Group","Gravar Grupo de Cliente"
"Save Password","Gravar Senha"
"Group","Grupo"
"Group ""%s"" can not be deleted","Grupo ""%s"" não pode ser removido"
"Customer Group","Grupo de Clientes"
"Customer Group was successfully saved","Grupo de Clientes foi gravado com sucesso"
"Customer Group was successfully deleted","Grupo de Clientes foi Removido com Sucesso"
"Default Group","Grupo Padrão"
"Customer Groups","Grupos de Clientes"
"Session Start Time","Horário de Início da Sessão"
"HTML","HTML"
"ID","ID"
