"* Select shipping method","* Selecione o método de entrega"
"Google order status change:","Alteração de Status do Pedido no Google:"
"Latest Charge: %s","Última Cobrança: %s"
"Latest Refund: %s","Último Reembolso: %s"
"AVS Status: %s","AVS Status: %s"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Debug","Debug"
"Cart Discount","Desconto do Carrinho de Compras"
"Eligible for protection: %s","Elegível para Proteção: %s"
"IP Address: %s","Endereço IP: %s"
"Hide Cart Contents During Checkout","Esconder Conteúdo do Carrinho de Compras Durante o Fechamento da Compra"
"Checkout Image Style","Estilo de Imagem de Fechamento da Compra"
"Expiration: %s","Expiração: %s"
"Invoice auto-created: %s","Fatura Criada automaticamente: %s"
"Financial: %s -> %s","Financeiro: %s -> %s"
"Fulfillment: %s -> %s","Fulfillment: %s -> %s"
"Auto-generated from GoogleCheckout Charge","Gerado Automaticamente pelo GoogleCheckout Charge"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Charge:","Google Charge:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - Merchant Calculated"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping – Taxa Básica"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping – Transporte Calculado"
"Google Checkout: %s","Google Checkout: %s"
"Google Refund:","Google Reembolso:"
"Enable","Habilitar"
"Google Buyer Id: %s","Id do Comprador no Google: %s"
"Buyer account age: %s days","Idade da Conta do Comprador: %s dias"
"Google Risk Information:","Informações de Risco do Google:"
"Virtual item to reflect discount total","Item Virtual para refletir desconto total"
"Location","Localização"
"Merchant ID","Merchant ID"
"Merchant Key","Merchant Key"
"Google Order Number: %s","Número de Pedido no Google: %s"
"Optional, leave empty for home page.","Opcional, deixe em branco para página principal."
"Default price:","Preço Padrão:"
"Amount: %s","Quantia: %s"
"Sandbox","Sandbox"
"New order status","Status de Pedido Novo"
"Total Charged: %s","Total Cobrado: %s"
"Total Refunded: %s","Total Reembolsado: %s"
"Continue Shopping URL","URL de Continuar Comprando"
