"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco se for sem prefixo)"
"(Make sure you keep it in a safe place.)","(Tenha certeza de manter em lugar seguro.)"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Ajude-nos a Manter a Qualidade do Magento"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente você pode tentar o método 'Downloads e Upgrades Manuais'."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de você continuar com a sua loja, por favor crie uma nota da sua chave de criptografia (o Magento á usará para criptografar senhas, cartões de créditos e outros)."
"After successfull installation please click the button below.","Após instalação bem sucedidad por favor clique no botão abaixo."
"Magento Installation Wizard","Assistente de Instalação do Magento"
"Currently this is the most stable state available for Magento packages.","Atualmente esta é versão disponível mais estável dos pacotes do Magento."
"Downloading and installing Magento, please wait...","Baixando e Instalando Magento, por favor aguarde..."
"Full Download / SVN Installation","Baixar Completo / Instalação SVN"
"Download Magento Core Modules and Updates","Baixar Módulos Principais e Atualizações do Magento"
"Welcome to Magento's Installation Wizard","Bem-vindo ao Assistente de Instalação do Magento"
"Required Fields","Campos Obrigatórios"
"Encryption Key","Chave de Criptografia"
"Check out our","Check out nosso"
"Connection","Conexão"
"Database Connection","Conexão com Banco de Dados"
"Configuration","Configuração"
"Locale settings","Configurações de Localidade"
"Password Confirmation","Confirmação de Senha"
"Confirm Password","Confirmar Senha"
"Continue","Continuar"
"Continue After Manual Download","Continuar após Download Manual"
"Proceed With Automatic Download (%s)","Continuar com Download Automático (%s)"
"Continue Full Download / SVN Installation","Continuar Download Completo / Instalação de SVN"
"Create Admin Account","Criar Conta de Administrador"
"Setting preferred state to: %s","Definindo estado preferido para: %s"
"Download","Download"
"Manual Downloads and Upgrades","Downloads e Atualizações Manuais"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Em outros casos você precisará tornar os arquivos do Magento graváveis para o usuário que executa os processos web do servidor."
"Email","Email"
"Email Address","Endereço de Email"
"Database connection error","Erro de conexão ao Banco de Dados"
"Choose this if you would like to test frontend and backend functionality.","Escolha este se você deseja testar a funcionabilidade do frontend e backend."
"This Url is invalid","Esta URL é inválida"
"Preferred stability: %s","Estabilidade Preferida: %s"
"I agree to the above terms and conditions","Eu concordo com os termos e condições acima"
"PHP Extension '%s' loaded","Extensão de PHP '%s' carregada"
"PHP Extension ""%s"" must be loaded","Extensões PHP ""%s"" devem ser carregadas"
"Provide a complete base URL for SSL connection. For example: %s","Forneça uma URL base completa para conexão SSL. Por exemplo: %s"
"Time Zone","Fuso Horário"
"Package Management through the Web","Gerenciamento de Pacotes através da Web"
"Installation Guide","Guia de Instalação"
"Enable this option only if you have SSL available.","Habilitar esta opção apenas se você tem SSL disponível."
"Host","Host"
"Database host","Host do Banco de Dados"
"Login Information","Informações de Conexão"
"Personal Information","Informações Pessoais"
"Installation","Instalação"
"Go to Backend","Ir para Backend"
"Go to Frontend","Ir para Frontend"
"Last Name","Último Nome"
"Locale","Localidade"
"Localization","Localização"
"Magento","Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento é uma marcar registrada de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento usa esta chave para criptografar senhas, cartões de crédito e mais. Se este campo for deixado em branco o sistema criará uma chave de criptografia para você e a mostrará na página seguinte."
"Default Currency","Moeda Padrão"
"Username","Nome de Usuário"
"User Name","Nome de Usuário"
"Database Name","Nome do Banco de Dados"
"Database user name","Nome do Usuário de Banco de Dados"
"Path ""%s"" must be writable","O Caminho ""%s"" deve ter permissão de escrita"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Ocorreu um problema ao instalar pacotes de Magento. Por favor acesse o log, corrija erros e tente novamente."
"Web access options","Opções de Acesso Web"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor assegure-se que <code>mod_rewrite</code> está habilitado na configuração do Apache."
"Please set all required settings before clicking Continue","Por favor defina todas as configurações obrigatórias antes de clicar em Continuar"
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Por favor note que apenas UNIX, Linux e Mac OSX shells são suportados atualmente. Para Windows use a opção'%s'."
"Please note that it is much less stable than beta.","Por favor note que é muito menos estável que beta."
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Prefixo de Tabela deveria conter apenas letras (a-z), números (0-9) ou underscore(_), primeiro caractere deveria ser uma letra"
"Tables Prefix","Prefixo de Tabelas"
"Get ready to experience Open-Source eCommerce Evolved.","Prepare-se para experimentar uma Evolução em eCommerce com Código Aberto."
"First Name","Primeiro Nome"
