" Copy"," Copiar"
"The subscription was successfully saved","A assinatura foi gravada com sucesso"
"Action","Ação"
"Add to Queue","Acrescentar a Fila"
"Add New Template","Acrescentar Novo Modelo"
"Delete Template","Apagar Modelo"
"Delete Selected Problems","Apagar Problemas Selecionados"
"Customer Lastname","Último Nome do Cliente"
"Subcribed","Assinado"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Selected problem subscribers successfully unsubscribed","Assinantes com problema selecionados foram descadastrados com sucesso"
"Subscribers From","Assinantes De"
"Newsletter Subscribers","Assinantes de Newsletter"
"Subscribe","Assinar"
"Newsletter Subscriptions","Assinatura de Newsletter"
"Sign up for our newsletter:","Assine nosso newsletter:"
"Subject","Assunto"
"Queue Subject","Assunto da Fila"
"Template Subject","Assunto do Modelo"
"Cancelled","Cancelado"
"Cancel","Cancelar"
"Error Code","Código de Erro"
"Invalid subscription confirmation code","Código Inválido de confirmação de Assinatura"
"Customer","Cliente"
"Newsletter subscription confirmation","Confirmação de Assinatura de Newsletter"
"Template Content","Conteúdo do Modelo"
"Resume","Continuar"
"Convert to Plain Text","Converter para Texto"
"Create Newsletter Template","Criar Modelo de Newsletter"
"Date Added","Data de Acréscimo"
"Date Updated","Data de Atualização"
"Queue Date Start","Data de Início da Fila"
"Unsubcribed","Descadastrar"
"Unsubscribe","Descadastrar"
"Recipients","Destinatários"
"Duplicate of template code","Duplicação do código do modelo"
"Edit Queue","Editar Fila"
"Edit Template","Editar Modelo"
"Edit Newsletter Template","Editar Modelo de Newsletter"
"Edit Newsletter","Editar Newsletter"
"Email","Email"
"Sender Email","Email do Remetente"
"Sent","Enviado"
"Sending","Enviando"
"Newsletter Queue","Fila de Newsletter"
"Form was filled incorrectly","Formulário foi preenchido incorretamente"
"Save As","Gravar Como"
"Save And Resume","Gravar e Continuar"
"Save Template","Gravar Modelo"
"Save Newsletter","Gravar Newsletter"
"There was an error while saving your subscription","Houve um erro ao gravar sua assinatura"
"There was a problem with the subscription","Houve um problema com a sua assinatura"
"There was a problem with the un-subscription.","Houve um problema com o cancelamento da assinatura."
"There was a problem with the subscription: %s","Houve um problema com sua assinatura: %s"
"ID","ID"
"Invalid subscriber ID","ID de assinante Inválido"
"Invalid subscription ID","ID Inválido de assinatura"
"Start","Início"
"Queue Start","Início da Fila"
"Queue Information","Informações da Fila"
"Template Information","Informações do Modelo"
"Store","Loja"
"Message","Mensagem"
"Confirmation Email Template","Modelo de Email de Confirmação"
"Unsubscription Email Template","Modelo de Email de Descadastramento"
"Success Email Template","Modelo de Email de Sucesso"
"Newsletter Templates","Modelos de Newsletter"
"Not activated","Não ativo"
"Not Sent","Não Enviado"
"No subscribers selected","Não foi selecionado assinante"
"Cannot save your subscription: %s","Não pode gravar sua assinatura: %s"
"Cannot mark as received subscriber","Não pode marcar como assinante recebido"
"Cannot delete subscriber","Não pode remover assinante"
"Cannot delete template","Não pode remover modelo"
"Need to Confirm","Necessidade de Confirmação"
"No Templates Found","Nenhum Modelo Encontrado"
"No problems found","Nenhum problema encontrado"
"Newsletter","Newsletter"
"Queue Newsletter","Newsletter da Fila"
"Template Name","Nome do Modelo"
"Sender Name","Nome do Remetente"
"New Template","Novo Modelo"
"New Newsletter Template","Novo Modelo de Newsletter"
"Thank you for your subscription","Obrigado pela sua assinatura"
"Subscription Options","Opções de Assinatura"
"Pause","Pausa"
"Paused","Pausado"
"Please enter new template name","Por favor insira nome do novo modelo"
"Please select subscriber(s)","Por favor selecione assinante(s)"
"Preview","Prever"
"Newsletter Message Preview","Prever Mensagem de Newsletter"
"Preview Template","Prever Modelo"
"Customer Firstname","Primeiro Nome do Cliente"
"Selected problems successfully deleted","Problemas Selecionados removidos com sucesso"
"Processed","Processado"
"Reset","Reiniciar"
"Newsletter Problem Reports","Relatórios de Problemas de Newsletter"
"Sender","Remetente"
"Confirmation Email Sender","Remetente de Email de Confirmação"
"Success Email Sender","Remetente de Email de Sucesso"
"Unsubscription Email Sender","Remetente do Email de Descadastramento"
"Return Html Version","Retornar Versão de HTML"
"Invalid queue selected","Selecionada fila Inválida"
"Unsubscribe Selected","Selecionado Descadastrar"
"Confirmation request has been sent","Solicitação de Confirmação foi enviada"
"Status","Status"
"Your subscription was successfully confirmed","Sua assinatura foi confirmada com sucesso"
"Newsletter subscription success","Sucesso de Assinatura de Newsletter"
"Newsletter unsubscription success","Sucesso de cancelamento de Newsletter"
"Queue Finish","Término da Fila"
"Error Text","Texto de Erro"
"Type","Tipo"
"Template Type","Tipo de Modelo"
"Toggle Editor","Trocar Editor"
"View Newsletter","Ver Newsletter"
"Store View","Visão da Loja"
"Guest","Visitante"
"You have been successfully unsubscribed.","Você foi descadastrado com sucesso."
"Do you really want to cancel the queue?","Você realmente deseja cancelar a fila?"
"Are you sure that you want to delete this template?","Você tem certeza que deseja remover este modelo?"
"Are you sure that you want to strip all tags?","Você tem certeza que deseja remover todos os tags?"
"Back","Voltar"
"Website","Website"
