"Open","Abrir"
"Add New Poll","Acrescentar Nova Pesquisa"
"Add New Answer","Acrescentar Nova Resposta"
"Add Answer","Acrescentar Resposta "
"Actions","Ações"
"Votes Count","Contagem de Votos"
"Votes Count:","Contagem de Votos:"
"Date Closed","Data de Fechamento"
"Date Posted","Data de Publicação"
"Edit Poll '%s'","Editar Pesquisa '%s'"
"Edit Answer '%s'","Editar Resposta '%s'"
"Edit Poll Answer","Editar Resposta da Pesquisa"
"Closed","Fechado"
"Poll Manager","Gerenciador de Pesquisa"
"Save Poll","Gravar Pesquisa"
"Save Answer","Gravar Resposta"
"ID","ID"
"Unable to find answer to delete.","Impossível encontrar resposta para remover."
"Poll information","Informações de Pesquisa"
"Poll Information","Informações de Pesquisa"
"Number of Responses","Número de Respostas"
"New Poll","Nova Pesquisa"
"Poll with the same question","Pesquisa com a mesma questão"
"Community Poll","Pesquisa da Comunidade"
"Poll not exists","Pesquisa Não Existe"
"Polls","Pesquisas"
"Poll Question","Questão de Pesquisa"
"Delete","Remover"
"Delete Poll","Remover Pesquisa"
"Delete Answer","Remover Resposta"
"Answer with the same title in this poll","Resposta com o mesmo título nesta pesquisa"
"Invalid Answer","Resposta Inválida"
"Answer was successfully saved","Resposta sera gravada com sucesso"
"Assigned Answers","Respostas associadas"
"Poll Answers","Respostas da Pesquisa"
"Status","Status"
"Answer Title","Título da Resposta"
"Answer Title:","Título da Resposta:"
"Visible In","Visível Em"
"Are you sure you want to delete it?","Você tem certeza que deseja remove-lo?"
"Vote","Votar"
