"Alert Email Sender","Remetente de Email de Alerta"
"Product stock alert","Alerta de Estoque de Produto"
"Product price alert","Alerta de Preço do Produto"
"Product Alerts","Alertas de Produto"
"Unsubscribe from all stock alerts","Cancelar Inscrição de todos alertas de estoque"
"Unsubscribe from all price alerts","Cancelar Inscrição de todos alertas de Preço"
"Click here not to receive alerts for this product","Clique aqui para Não receber alertas para este produto"
"Product Alerts Run Settings","Configurações de Execução de Alertas de Produto"
"Error Email Recipient","Destinatário de Email de Erro"
"Product alerts Cron error","Erro de Cron de Alertas de Produtos"
"Frequency","Freqüência"
"Start Time","Horário de Início"
"Sign up to get notified when this product is back in stock","Inscreva-se para ser notificado quando este produto voltar para o estoque "
"Sign up for price alert","Inscrever-se para alerta de preço"
"Alert subscription was saved successfully","Inscrição em Alerta foi gravada com Sucesso"
"Alert subscription was deleted successfully","Inscrição em Alerta foi removido com sucesso"
"Stock alert Email Template","Modelo de Email de Alerta de Estoque"
"Price alert Email Template","Modelo de Email de alerta de Preço"
"Error Email Template","Modelo de Email de Erro"
"Not enough parameters","Parâmetros insuficientes"
"Allow alert when product price changes","Permitir alerta quando produto mudar de preço"
"Allow alert when product comes back in stock","Permitir alerta quando produto voltar ao estoque"
"Please try again later","Por Favor Tente Novamente mais tarde"
"Special price:","Preço Especial:"
"Price:","Preço:"
"Product not found","Produto Não Encontrado"
"Error Email Sender","Remetente de Email de Erro"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta notificação porque se inscreveu para receber alertas quando os seguintes produtos voltarem ao estoque:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os preços para os seguintes produtos forem alterado:"
"You will no longer receive stock alerts","Você não receberá mais alertas de estoque"
"You will no longer receive stock alerts for this product","Você não receberá mais alertas de estoque para este produto"
"You will no longer receive price alerts for this product","Você não receberá mais alertas de preço para este produto"
