"%s - Special Discounts","%s – Descontos Especiais"
"%s has reached a quantity of %s.","%s Atingiu uma quantidade de %s."
"%s - Discounts and Coupons","%s – Descontos e Cupons"
"%s's Wishlist","%s's Lista de Desejos"
"Review: %s <br/>","Opinião: %s <br/>"
"Enable RSS","Ativar RSS"
"Catalog","Catálogo"
"Top Level Category","Categoria Alto Nível"
"click <a href=""%s"">here</a> to view the review","Clique <a href=""%s"">aqui</a> para ver a Análise"
"Comment: %s<br/>","Comentário: %s<br/>"
"Purchased From: %s","Comprado de: %s"
"Rss Config","Config Rss"
"Coupons/Discounts","Cupons/Descontos"
"Notified Date: %s<br/>","Data da Notificação: %s<br/>"
"From:","De:"
"Discount ","Desconto "
"Details for %s #%s","Detalhes de %s #%s"
"Shipping & Handling","Enviando & Manuseando"
"Error in processing xml. %s","Erro ao processar xml. %s"
"Grand Total","Total Geral"
"Tax","Imposto"
"Wishlist","Lista de Desejos"
"Store: %s <br/>","Loja: %s <br/>"
"Gift Message","Mensagem de Presente"
"Message:","Mensagem:"
"Cannot retrieve the wishlist","Não é possível acessar Lista de Desejos"
"There are no %s.","Não há %s."
"Customer Name: %s","Nome do Cliente: %s"
"Customer Order Status Notification","Notificação de Status de Pedido de Cliente"
"Order # %s Notification(s)","Notificação(ões) do Pedido # %s"
"New Orders","Novos Pedidos"
"New Products","Novos Produtos"
"New Products from %s","Novos Produtos De %s"
"To:","Para:"
"Order #%s created at %s","Pedido #%s Criado em %s"
"Get Feed","Pegar Feed"
"Pending product review(s)","Opinião(ões) pendente(s) do produto"
"Product: ""%s"" review By: %s","Produto: ""%s"" Por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Produtos com Estoque Baixo"
"Products tagged with %s","Produtos com tag %s"
"Special Products","Produtos Especiais"
"Special/Discount Products","Produtos Especiais/com Desconto"
"RSS Feeds","RSS Feed"
"Current Status: %s<br/>","Status Atual: %s<br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Sumário da Opinião: %s <br/>"
"Tags Products","Tags dos Produtos"
"Total: %s<br/>","Total: %s<br/>"
