" The customer doesn't exist in the system anymore"," O cliente não existe mais no sistema"
"%s order(s) succesfully canceled","%s compra(s) foi(ram) cancelada(s) com sucesso"
"%s order(s) succesfully released from holding status","%s compra(s) foram(ram) categorizada(s) como processando"
"%s order(s) successfully put on hold","%s compra(s) foram(ram) colocada(s) em processamento"
"Order Date: %s","<p><strong>Data do Pedido:</strong> %s</p>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Necessita de Impostos com base na Origem do Envio </span>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Alerta: quando o preço de catálogo inclui impostos, deve ser ajustada como “Não”</span>"
"About This Order:","Sobre essa Compra:"
"Account Information","Informações da Conta"
"Action","Ação"
"Actions","Ações"
"Add","Adicionar"
"Add a gift message for <strong>each gift item</strong>","Adicionar uma mensagem de presente para <strong>para item de presente</strong>"
"Add a gift message for the <strong>entire order</strong>","Adicionar uma mensagem de presente para <strong>toda compra</strong>"
"Add New Address","Adicionar Novo Endereço"
"Add Order Comments","Adicionar Comentário de Compra"
"Add Product","Adicionar Produto"
"Add Selected Product(s) to Order","Adicionar Produto(s) Seleciona(s) para a Compra"
"Add to Cart","Comprar"
"Add To Order","Adicionar a Compra"
"Add Tracking Number","Adicionar Número de Rastreamento"
"Address","Endereço"
"Adjustment Fee","Taxa Ajustável"
"Adjustment Fee:","Taxa Ajustável:"
"Adjustment Refund","Reembolso Ajustável"
"Adjustment Refund:","Reembolso Ajustável:"
"Allow Reorder","Permitir Recompra"
"Amount","Total"
"Append Comments","Comentários Pendentes"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Código de Cupom"
"Apply Tax after Discount","Aplicar Taxa Depois do Desconto"
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar essa compra?"
"Are you sure?","Tem certeza?"
"Are you sure? This order will be cancelled and a new one will be created instead","Tem certeza? Essa compra sera cancelada e uma nova será criada instantaneamente"
"Bill to First name","Cobrar do Primeiro Nome"
"Bill to Last name","Cobrar do Último Nome"
