"Description","Descrição "
"Delivered on:","Entregue em:"
"Tracking information is currently unavailable.","Informações de rastreamento indisponíveis."
"Tracking information is currently not available. Please ","Informações de rastreamento não estão disponíveis. Por Favor"
" for more information or email us at "," para mais informações ou nos envie um email para "
"Allow Shipping to multiple addresses","Permitir Envio para vários endereços "
"# of Items (and above)","# de itens (e acima)"
"# of Items vs. Destination","# de Itens x Destino"
"Invalid %s ""%s"" in the Row #%s","%s Inválido""%s"" na Linha #%s"
"Store Pickup","Armazenar captador"
"Signed by:","Assinado por:"
"Calculate Handling Fee","Calcular Taxa de Manuseio"
"ZIP/Postal Code","CEP"
"City","Cidade"
"Condition","Condição"
"contact us","contate nos"
"Fixed","Corrigido"
"Date","Data"
"Shipping Settings","Definições de Envio"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicar Linha #%s (País ""%s"", Região/Estado ""%s"", CEP ""%s"" e Valor ""%s"")"
"Delivered to:","Entregue para:"
"Shipped or billed on:","Enviado ou Faturado para:"
"Ship to Specific countries","Enviar para Países específicos"
"Ship to applicable countries","Enviar para países possíveis"
"Shipment #","Envio #"
"Free Shipping","Envio Gratuito"
"Error:","Erro:"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio não está disponível no momento. Se você gostaria de usar este método de envio, entre em contato conosco."
"Export","Exportar"
"Close Window","Fechar Janela"
"Invalid Table Rates File Format","Formato Inválido de Arquivo da Tabela de Taxas"
"Enabled","Habilitado"
"Handling Fee","Taxa de Manuseio"
"Local Time","Hora Local"
"Import","Importar"
"Info:","Info:"
"Location","Localização"
"Displayed Error Message","Mensagem de Erro Exibida"
"Shipping Methods","Métodos de Envio"
"Show method if not applicable","Mostra métodos se não aplicável"
"N/A","N/A"
"There is no tracking available for this shipment.","Não existe rastreamento disponível para este envio."
"There is no tracking available.","Não existe rastreamento disponível."
"None","Nenhum"
"Method name","Nome do Método"
"Tracking Number:","Número de Rastreamento:"
"The shipping module is not available for selected delivery country","O módulo de envio não está disponível para o país de destino selecionado"
"Options","Opções"
"Sort order","Ordenar por"
"Origin","Origem"
"Country","País"
"Invalid Country ""%s"" in the Row #%s","País Inválido ""%s"" na Linha #%s"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso x Destino"
"Weight:","Peso:"
"Per Package","Por Pacote"
"Per Order","Por Pedido"
"Percent","Porcentagem"
"Price","Preço"
"Invalid Shipping Price ""%s"" in the Row #%s","Preço de Envio Inválido ""%s"" na Linha #%s"
"Price vs. Destination","Preço x Destino"
"Maximum qty allowed for Shipping to multiple addresses","Qtde Máxima permitida para envio a múltiplos endereços "
"Minimum order amount","Quantidade Mánima de Pedido "
"Track:","Rastrear:"
"Region/State","Estado "
"Invalid Region/State ""%s"" in the Row #%s","Estado Inválido ""%s"" na Linha #%s"
"Status:","Status:"
"Order Subtotal (and above)","Subtotal do Pedido (e acima)"
"Invalid Table Rate code for type %s: %s","Tabela de Códigos de Taxas Inválida para o tipo %s: %s"
"Flat Rate","Taxa Base"
"Table rates","Taxas de Tabela"
"Type","Tipo"
"Invalid Table Rate code type: %s","Tipo de Código inválido da Tabela de Taxas: %s"
"Service Type:","Tipo de Serviço:"
"Title","Título"
"Carrier:","Transportadora:"
