"Last Name","Último Nome"
"# of Uses","# de Usos"
"Action","Ação"
"Actions","Ações"
"Add to Cart","Acrescentar ao carrinho"
"Add to Wishlist","Acrescentar à Lista de Desejos"
"Add New Tag","Acrescentar Nova Tag"
"Add Your Tags:","Acrescentar suas Tags:"
"Add Tags","Acrescentar Tags"
"Change status","Alterar Status"
"Delete","Apagar"
"Delete Tag","Apagar Tag"
"Approved","Aprovado"
"Block Information","Bloco de Informação"
"ZIP/Post Code","CEP"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Customers Tagged '%s'","Clientes Tagged '%s'"
"Click on a tag to view your corresponding products.","Clique na TAG para visualizar os seus produtos correspondentes"
"CSV","CSV"
"Disabled","Desabilitado"
"Edit Tag","Editar Tag"
"Edit Tag '%s'","Editar Tag '%s'"
"Email","Email"
"Grid","Grade"
"ID","ID"
"Unable to remove tag. Please, try again later.","Impossível apagar Tag, tente mais tarde por favor."
"Unable to find any products tagged with '%s' in the current store","Impossível encontrar produtos com a Tag '%s' na loja atual"
"Unable to save tag(s)","Impossível salvar a(s) tag(s)"
"Unable to save your tag. Please, try again later.","Impossível salvar sua Tag. Tente mais tarde por favor."
"Tag Information","Informações da Tag"
"General Information","Informações Gerais"
"List","Lista"
"My Tags","Minhas Tags"
"My Recent Tags","Minhas Tags Recentes"
"No matches found.","Nenhum Resultado Encontrado."
"Name","Nome"
"Tag Name","Nome da Tag"
"Tag Name: %s","Nome da Tag: %s"
"New Tag","Nova Tag"
"Thank you. Your tag has been accepted for moderation.","Obrigado. Sua Tag foi aceita para avaliação."
"Other people marked this product with these tags:","Outras pessoas marcaram este produto com as seguintes tags:"
"Country","País"
"Pending","Pendente"
"Popular","Popular"
"Popular Tags","Tags Populares"
"Popularity","Popularidade"
"Price","Preço"
"First Name","Primeiro Nome"
"Product Name","Nome do Produto"
"Products","Produtos"
"Products tagged with '%s'","Produtos tagged com '%s'"
"Products Tagged with '%s'","Produtos Tagged com '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produtos tagged com '%s' (<a href='%s'>RSS</a>)"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultado da Pesquisa para '%s' (<a href='%s'>RSS</a>)"
"Save Tag","Salvar Tag"
"SKU","SKU"
"Product SKU","SKU do Produto"
"Status","Status"
"You tag was successfully deleted","Sua tag foi apagada com sucesso"
"You tag was successfully saved","Sua tag foi gravada com sucesso"
"Your tag(s) have been accepted for moderation","Sua(s) Tag(s) foram aceitas para moderação"
"Tag","Tag"
"Tag can't be empty.","Tag não pode ser vazia.."
"Tagged in","Tagged em"
"Tags","Tags"
"Product Tags","Tags do Produto"
"Tags Aren't Available","Tags não estão disponíveis"
"Pending Tags","Tags Pendentes"
"Tags:","Tags:"
"Telephone","Telefone"
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Are you sure that you want to delete this tag?","Tem certeza que deseja remover esta tag?"
"Are you sure you want to delete this tag?","Tem certeza que deseja remover esta Tag?"
"Are you sure?","Tem certeza?"
"All Tags","Todas Tags"
"All tags","Todas tags"
"Uses","Usos"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilize espaços para separar tags. Utilize aspas simples (') para frases."
"View Customers","Ver Clientes"
"View Products","Ver Produtos"
"View All Tags","Ver Todas Tags"
"Visible In","Visível em"
"You have not tagged any products yet.","Você nao acrescentou Tag em nenhum produto."
"Back","Voltar"
"Back to Tags List","Voltar para lista de Tags"
"Back to view Tag","Voltar para visualizar Tag"
"XML","XML"
