"-- Please Select --","-- Por Favor Selecione --"
"Add New Class","Adicionar Classe"
"Add New Tax Rule","Adicionar Nova Regra de Imposto"
"Add New Tax Rate","Adicionar Taxa de Imposto"
"Delete Class","Apagar Classe"
"Delete Rate","Apagar Imposto"
"Delete Rule","Apagar Regra"
"Invalid file upload attempt","Arquivo invalido"
"Zip/Post Code","CEP"
"Product Tax Class","Classe de Imposto de produto"
"Customer Tax Class","Classe de Imposto do cliente"
"Tax class was successfully saved","Classe de Imposto gravada com sucesso"
"Tax class was successfully deleted","Classe de imposto removida com sucesso"
"Customer Tax Classes","Classes de Imposto de Clientes"
"Product Tax Classes","Classes de Impostos dos Produtos"
"CSV","CSV"
"Incorrect rate Data","Dados de Taxa incorretos"
"Invalid data for tax rate calculation","Dados inválidos para calcular taxa de imposto"
"Edit Class","Editar Classe"
"Edit Class '%s'","Editar Classe '%s'"
"Edit Rule","Editar Regra"
"Edit Tax Rate","Editar Taxa de Imposto"
"Error while deleting this class. Please try again later.","Erro ao apagar esta classe. Por favor, tente mais tarde."
"Error while deleting this tax rule. Please try again later.","Erro ao apagar esta Regra de Imposto. Por favor, tente mais tarde."
"Error while deleting this rate. Incorrect rate ID","Erro ao apagar esta taxa. ID de taxa incorreto"
"Error while deleting this rate. Please try again later.","Erro ao apagar esta taxa. Por favor, tente mais tarde."
"Error while saving this tax class. Class with the same name ","Erro ao salvar esta classe de imposto. Já existe uma classe com este nome "
"Error while saving this tax class. Please try again later.","Erro ao salvar esta classe de Imposto. Por favor, tente mais tarde."
"Error while saving this tax rule. This product tax class and customer tax class combination","Erro ao salvar esta regra de imposto. A Classe de imposto deste produto e a classe de imposto do cliente não combinam"
"Error while saving this tax rule. Please try again later.","Erro ao salvar esta regra de imposto. Por favor, tente mais tarde."
"Error while saving this rate. Please try again later.","Erro ao salvar esta taxa. Por favor, tente novamente."
"This class no longer exists","Esta classe não existe mais"
"This rule no longer exists","Esta regra não existe mais"
"State","Estado"
"State/Region","Estado/Região"
"Excl. Tax","Excl. Imposto"
"Export Tax Rates","Exportar Taxas de Impostos"
"Manage Product Tax Classes","Gerenciar Classe de Impostos do produto"
"Manage Customer Tax Classes","Gerenciar Classes de Impostos do Cliente"
"Manage Tax Rules","Gerenciar Regras de Impostos"
"Manage Tax Rates","Gerenciar Taxas de Imposto"
"ID","ID"
"Import / Export Tax Rates","Importar / Exportar taxa de imposto"
"Import Tax Rates","Importar taxa de impostos"
"Tax","Imposto"
"Inc. Tax","Inc. Imposto"
"Incl. Tax","Incl. Imposto"
"Customer Tax Class Information","Informações da Classe de Impostos do Cliente"
"Product Tax Class Information","Informações da Classe de Impostos do Produto"
"Tax Rate Information","Informações da Taxa de Impostos"
"Tax Rule Information","Informações das Regras de Impostos"
"County","Município"
"Class Name","Nome da Classe"
"NONE","NONE"
"New Class","Nova Classe"
"New Rule","Nova Regra"
"New Tax Rate","Nova Taxa de Imposto"
"Country","País"
"Reset","Redefinir"
"Tax rule was successfully deleted","Regra de Imposto apagada com sucesso"
"Tax rule was successfully saved","Regra de Imposto salva com sucesso"
"Tax Rules","Regras de Impostos"
"Save Class","Salvar Classes"
"Save Rule","Salvar Regra"
"Save Rate","Salvar Taxa"
"Please select State","Selecione um Estado por favor"
"Please select County","Selecione um Município por favor"
"Please select Country","Selecione um País por favor"
"Tax Rate","Taxa de Imposto"
"Tax rate was successfully deleted","Taxa de Imposto apagada com sucesso"
"Tax rate was successfully imported","Taxa de Imposto importada com sucesso"
"Tax rate was successfully saved","Taxa de Imposto salva com sucesso"
"Tax Rates","Taxas de Impostos"
"Tax Rates Import / Export","Taxas de Impostos de Importação / Exportação"
"Are you sure you want to do this?","Tem a certeza que deseja fazer isto?"
"Invalid file format upload attempt","Tentativa de upload de Formato de arquivo inválida"
"One of row has invalid country code.","Uma das linhas contém um código de país inválido."
"Sales","Vendas"
"You cannot delete this tax class as it is used for %d products.","Você não pode apagar esta classe de imposto pois ela é usada  por %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Você não pode apagar esta classe de imposto pois ela é usada em regras de impostos. Você tem que apagar as regras onde ela é usada primeiro."
"You cannot delete this tax class as it is used for %d customer groups.","Você não pode apagar esta classe de imposto pois ela é usada por um grupo de clientes"
"Back","Voltar"
"XML","XML"
