" was not delivered nor scanned"," não foi entregue nem scaneado"
"2Day","2Dias"
"Access license number","Acessar número de licença "
"Library","Biblioteca"
"Bound Printed Matter","Bound Printed Matter"
"FedEx Box","Caixa FedEx "
"FedEx 10kg Box","Caixa FedEx 10kg"
"FedEx 25kg Box","Caixa FedEx 25kg"
"Flat Rate Box","Caixa Taxa Básica "
"Calculate Handling Fee","Calcular Taxa de Manuseio"
"Letter","Carta"
"Business Service Center","Centro de Serviços de Negócio"
"Shipping key","Chave de Transporte "
"Shipping key (International)","Chave de Transporte (Internacional)"
"Invalid DHL XML code for type %s: %s","Código DHL XML Inválido para Tipo %s: %s"
"Invalid FedEx XML code for type %s: %s","Código FedEx XML inválido para tipo %s: %s"
"Invalid UPS CGI code for type %s: %s","Código UPS CGI inválido para tipo %s: %s"
"Invalid USPS XML code for type %s: %s","Código USPS XML inválido para tipo %s: %s"
"Regular Pickup","Coleta Normal "
"Container","Container"
"Express Mail","Correio Expresso"
"Priority Mail","Correio Prioritário"
"Package Description","Descrição do Pacote "
"Receiver","Destinatário"
"DHL","DHL"
"Drop Box","Drop Box"
"Dropoff","Devolver"
"International Economy","Econômico Internacional"
"Packaging","Empacotamento"
"Home Delivery","Entrega à Domicílio "
"Delivered","Entregue"
"FedEx Envelope","Envelope FedEx"
"Flat Rate Envelope","Envelope Taxa Básica "
"Error #%s : %s (%s)","Erro #%s : %s (%s)"
"Error #%s: %s","Erro #%s: %s"
"Unknown error","Erro Desconhecido "
"Express Saver","Express Saver"
"Express","Expresso"
"Express 10:30 AM","Expresso 10:30 AM"
"International Express","Expresso Internacional"
"FedEx","FedEx"
"Flat","Flat"
"1 Day Freight","Frete de 1 Dia"
"2 Day Freight","Frete de 2 Dias"
"3 Day Freight","Frete de 3 Dias"
"Intl Economy Freight","Frete Intl Econômico"
"Intl Priority Freight","Frete Intl Prioritário"
"Large","Grande"
"Ground","Terra"
"Enabled","Habilitado"
"Handling Applied","Manuseio Aplicado"
"Handling fee","Taxa de Manuseio"
"Access ID","ID de Acesso"
"Account ID","ID de Conta"
"User ID","ID do Usuário"
"Unable to retrieve tracking","Impossível recuperar tracking"
"Please enter the package weight","Informe o peso do pacote por favor"
"Machinable","Machinable"
"Media Mail","Mail de Media"
"Pickup method","Método de Coleta"
"Free method","Método Grátis"
"Allowed methods","Métodos Permitidos"
"Displayed Error Message","Mostrar Mensagem de Erro "
"Show method if not applicable","Mostrar Método se não permitido "
"No","Não"
"Cannot retrieve shipping rates","Não foi possível obter taxas de transporte"
"There is no available method for selected shipping address.","Não há método disponível para endereço de transporte selecionado."
"Non-rectangular","Não-retangular"
"Regular","Normal"
"Account number","Número de Conta"
"Sort order","Ordenação "
"Origin of the shipment","Origem do transporte "
"Package","Pacote"
"FedEx Pak","Pacote FedEx "
"Standard Overnight","Padrão Overnight"
"Parcel Post","Parcel Post"
"Parcel","Parcela"
"Order","Pedido"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo de Pacote (Favor consultar sua transportadora para informações sobre peso máximo de transporte permitido)"
"International First","Primeiro Internacional "
"First Overnight","Primeiro Overnight"
"First-Class","Primeira-Classe"
"Europe First Priority","Prioritário Europa Primeiro"
"International Priority","Prioritário Internacional "
"Priority Overnight","Prioridade Overnight"
"Next Afternoon","Próxima Tarde"
"Minimum order amount for free shipping","Quantidade de Ordem minima para transporte gratuito "
"Sender","Remetente"
"Response is in the wrong format","Resposta está no formato errado "
"Empty response","Resposta Vazia"
"Rectangular","Retangular"
"Express Saturday","Sábado Expresso "
"Second Day Service","Serviço de Segundo Dia"
"Password","Senha"
"Shipment Dutiable","Postagem Taxável"
"Shipment Duty Payment Type","Taxa de Postagem de Tipo de Pagamento"
"Shipment is not available.","Postagem não está disponível."
"Shipment picked up","Postagem Pega"
"Yes","Sim"
"Request Courier","Solicitar Transportadora "
"Station","Estação"
"Your Packaging","Sua Embalagem"
"Size","Tamanho"
"Oversize","Tamanho Excedido"
"Third Party","Terceiro"
"Invalid DHL XML code type: %s","Tipo de código DHL XML inválido: %s"
"Invalid FedEx XML code type: %s","Tipo de código FedEx XML inválido: %s"
"Invalid UPS CGI code type: %s","Tipo de código UPS CGI inválido: %s"
"Invalid USPS XML code type: %s","Tipo de código USPS XML inválido: %s"
"Destination type","Tipo de Destino "
"Shipment type","Tipo de Transporte "
"UPS type","Tipo de UPS"
"Title","Título"
"All Services","Todos Serviços"
"Tracking XML URL","Rastreamento XML URL"
"Ship to Specific countries","Transportar para Países Específicos "
"Ship to applicable countries","Transportar para países permitidos "
"Free shipping with minimum order amount","Transporte Gratuito com quantidade de compra mínima "
"FedEx Tube","Tubo FedEx"
"Weight Unit","Unidade de Peso"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"UPS","UPS"
"Gateway URL","URL de Gateway"
"UserId","UserId"
"USPS","USPS"
"Variable","Variável"
"Gateway XML URL","XML URL de Gateway "
